venue_id,source_ref,venue_id,name,acronym,type,area,publisher_or_organizer,official_url,quartile_or_rank,ranking_source,indexing,venue_family,q1_accessibility_class,accessibility_rationale,accessibility_confidence,realistic_publication_chance,recommended_submission_strategy,difficulty,best_for,desk_reject_risks,relevance_to_my_fields,paper_profiles_supported,time_to_first_decision,time_to_acceptance,time_acceptance_to_online,estimated_total_publication_time,publication_speed_category,review_rigor,expected_review_rounds,fast_track_available,online_first_available,data_descriptor_format_available,software_article_format_available,timeline_confidence,timeline_source,suitability_if_fast_publication_needed,notes_on_publication_delay,recent_related_papers,verification_links,notes
V11,V11 from perplexity_final_response1.csv,V11,International Journal on Document Analysis and Recognition,IJDAR,journal,document analysis/HTR,Springer,https://www.springer.com/journal/10032,SJR≈0.83; quartile not clearly exposed but likely Q2 in CS/AI,Resurchify/Scimago[web:81][web:79][web:83],Scopus; Web of Science[web:83][web:85],"5,6",strong Q2 (medium-confidence),"Core DA/OCR/HTR journal, but SJR lower than PR.",medium,reasonable,realistic target,medium,"HTR/OCR/document analysis, dataset/protocol work",Medium if work is purely FAS or agri without document angle.,"HTR, multilingual HTR, low-resource HTR datasets, annotation protocols.",HTR/OCR/document analysis; dataset/benchmark,not verified,not verified,not verified,not verified,medium (not verified),rigorous,likely 2,no,online first,no,no,low,not verified,medium,https://www.resurchify.com/impact/details/130138[web:81]; https://www.scimagojr.com/journalsearch.php?q=130138&tip=sid[web:79],Primary journal for HTR/OCR/document analysis in your portfolio.,,
V12,V12 from perplexity_final_response1.csv,V12,IET Image Processing,IET-IP,journal,CV/doc analysis,Wiley / IET,https://ietresearch.onlinelibrary.wiley.com/journal/17519667,Best quartile Q2; SJR≈0.51; IS≈2.73,ResearchBite/Scimago[web:158][web:155][web:161][web:164],Scopus; Web of Science,5,strong Q2,"Well-indexed, moderate SJR; good for applied CV and doc-analysis.",high,reasonable,realistic Q2 fallback,medium–high,"computer vision, document analysis",Medium if scope mismatch (education-only or pure chemometrics).,Applied CV/HTR/DocAI with solid experimentation.,computer vision; HTR/OCR/document analysis,not verified,not verified,not verified,not verified,medium (not verified),moderate–rigorous,likely 1–2,no,online first,no,no,low,not verified,medium–high,https://www.researchbite.com/impact/details/5400152646[web:158]; https://www.scimagojr.com/journalsearch.php?q=5400152646&tip=sid[web:164],Good “workhorse” Q2 venue for CV/HTR/DocAI.,,
V13,V13 from perplexity_final_response1.csv,V13,Computers & Education,C&E,journal,EdTech / CS Ed,Elsevier,https://www.sciencedirect.com/journal/computers-and-education,Q1 in Education and CS Applications; very high IF and h-index[web:12][web:21][web:77],Scopus; Web of Science,"6,7",elite Q1,Leading EdTech journal; extremely competitive.,high,low,ambitious target,very high,"educational technology, computing education systematic reviews","High if weak methodology or small, uncontrolled studies.","CS1, K–12 computing, CT, AI-supported programming, robust evaluation, PRISMA reviews.",educational technology; computing education; systematic review,not verified,not verified,not verified,not verified,slow (likely >9 months; not verified),very rigorous,likely 2–3,no,yes,no,no,low,not verified,low,https://www.scimagojr.com/journalsearch.php?q=17645&tip=sid[web:12]; bibliometric analyses showing Q1 dominance[web:70][web:73],"Your top option for high-impact EdTech/CS‑ed work, but very demanding.",,,
V14,V14 from perplexity_final_response1.csv,V14,Education and Information Technologies,EAIT,journal,EdTech,Springer,https://www.springer.com/journal/10639,Q1 in Education; IF≈5.4 (2025)[web:75][web:84][web:80],Scopus; Web of Science[web:80],6,strong Q1,High-quality but more accessible than C&E; broad EdTech scope.,high,moderate,realistic Q1 target,high,educational technology,Medium if weak methods or off-topic.,"Programming education, CT, AI-in-education, curriculum analysis.",educational technology; computing education; systematic review,not verified,not verified,not verified,not verified,medium (not verified),rigorous,likely 2,no,yes,no,no,low,not verified,medium–high,https://www.resurchify.com/impact/details/144955[web:84]; https://journalsearches.com/journal.php?title=education+and+information+technologies[web:75],Very good balance between quality and realism for EdTech.,,,
V15,V15 from perplexity_final_response1.csv,V15,IEEE Transactions on Learning Technologies,TLT,journal,EdTech / learning analytics,IEEE,https://www.scimagojr.com/journalsearch.php?q=19700167026&tip=sid,"Q1 in CS Applications, Education, E-learning; SJR≈1.14; IS≈5.7[web:11][web:17][web:14][web:20]",Scopus; Web of Science[web:20],"6,7",strong Q1,"High-quality IEEE EdTech venue, strong on learning technologies.",high,moderate,ambitious/realistic Q1,high,"educational technology, learning analytics",Medium if purely qualitative with limited tech.,"AI-supported programming, learning analytics, adaptive systems in CS1.",educational technology; computing education,not verified,not verified,not verified,not verified,medium (not verified),rigorous,likely 2,no,yes,no,no,low,not verified,medium,https://www.researchbite.com/impact/details/19700167026[web:11]; https://www.scimagojr.com/journalsearch.php?q=19700167026&tip=sid[web:17],Good alternative to C&E with strong tech focus.,,,
V16,V16 from perplexity_final_response1.csv,V16,ACM Transactions on Computing Education,TOCE,journal,CS education,ACM,https://dl.acm.org/journal/toce,Q1 in CS(misc.) and Education; SJR≈0.78; CiteScore≈7.2[web:10][web:22][web:13][web:19],Scopus; Web of Science,7,strong Q1,Flagship CS-ed journal; smaller volume than C&E/EAIT; rigorous.,high,low–moderate,ambitious/realistic Q1,very high,"computing education, CS1/CS2, curriculum guidelines (ACM/IEEE), systematic reviews",High if weak study design or very narrow population.,"CS1, CT, architecture education, RISC-V education.",computing education; engineering education; systematic review,not verified,not verified,not verified,not verified,slow (likely >9 months; not verified),very rigorous,likely 2–3,no,online,no,no,low,not verified,low,https://journalsearches.com/journal.php?title=acm+transactions+on+computing+education[web:10]; https://www.scimagojr.com/journalsearch.php?q=19700183047&tip=sid[web:22],Primary outlet for CS-ed work.,,,
V17,V17 from perplexity_final_response1.csv,V17,Computers and Electronics in Agriculture,CEA,journal,agri AI / HSI / food,Elsevier,https://www.sciencedirect.com/journal/computers-and-electronics-in-agriculture,"Q1 in Agronomy & Crop Science, Animal Science & Zoology, CS Applications; SJR≈1.58–1.83; IF≈10.7[web:90][web:93][web:96][web:98][web:101]",Scopus; Web of Science[web:101],"9,10,11",strong Q1,"Very strong agri+computing journal, high impact and citations.",high,moderate,ambitious/realistic Q1,high,agriculture/remote sensing; hyperspectral imaging; food safety/chemometrics,Medium if too educational or architectural with no agri focus.,"Wheat detection, NIR-HSI cereal contamination, DON screening, precision agriculture ML.",agriculture/remote sensing; hyperspectral imaging; food safety/chemometrics; applied AI,not verified,not verified,not verified,not verified,medium (not verified),rigorous,likely 2,no,yes,no,no,low,not verified,medium,https://www.resurchify.com/impact/details/30441[web:96]; https://www.scimagojr.com/journalsearch.php?q=30441&tip=sid[web:98],Core for your agricultural AI + HSI + DON/mycotoxin work.,,,
V18,V18 from perplexity_final_response1.csv,V18,Precision Agriculture,PA,journal,precision ag,Springer,https://link.springer.com/journal/11119,Q1 in Agricultural & Biological Sciences; SJR≈1.21–1.34,Scimago/ResearchBite[web:91][web:94][web:99],Scopus; Web of Science[web:99],"9,10",strong Q1,"Key precision ag journal, slightly narrower than CEA.",high,moderate,ambitious/realistic Q1,high,"agriculture/remote sensing, AI for sustainability",Medium if focus is purely CV/ML with little agri relevance.,"Field-scale detection, precision wheat monitoring, sustainability-focused agri AI.",agriculture/remote sensing; AI for sustainability,not verified,not verified,not verified,not verified,medium (not verified),rigorous,likely 2,no,yes,no,no,low,not verified,medium,https://journalsearches.com/journal.php?title=precision+agriculture[web:91]; https://www.researchbite.com/impact/details/86245[web:94],Excellent for agronomy-focused AI.,,
V19,V19 from perplexity_final_response1.csv,V19,Chemometrics and Intelligent Laboratory Systems,ChemoLab,journal,chemometrics/HSI,Elsevier,https://www.sciencedirect.com/journal/chemometrics-and-intelligent-laboratory-systems,Best quartile Q2; SJR≈0.65; IS≈4.2–4.6,Scimago/Resurchify[web:92][web:95][web:100],Scopus; Web of Science,11,strong Q2,Main chemometrics journal; widely respected.,high,moderate–reasonable,realistic Q2 target,high,hyperspectral imaging; chemometrics; calibration transfer; spectral ML,Medium if paper is pure CV/doc analysis with no chemometric angle.,"NIR-HSI, calibration transfer, DON/mycotoxin modeling, batch effects.",hyperspectral imaging; food safety/chemometrics; agriculture/remote sensing; applied AI,not verified,not verified,not verified,not verified,medium (not verified),rigorous,likely 2,no,yes,no,yes (Original Software Publications)[web:103],low,not verified,medium,https://www.researchbite.com/impact/details/24595[web:95]; https://www.sciencedirect.com/journal/chemometrics-and-intelligent-laboratory-systems[web:103],Ideal for your chemometrics + HSI + calibration transfer work (including software papers).,,
V20,V20 from perplexity_final_response1.csv,V20,Scientific Data,SciData,journal,data descriptors,Nature Research,https://www.nature.com/sdata,"Q1 in CS Applications, Education, Info Systems, LIS, Statistics; SJR≈1.87; IF≈6.9",Scimago/Resurchify/Clarivate[web:130][web:133][web:139][web:136],Scopus; Web of Science[web:139],13,strong Q1,High-impact data journal with strict standards.,high,moderate,data descriptor target,high,dataset/benchmark; data descriptor; open science,"High if metadata, documentation or reuse story are weak.","Datasets/benchmarks in FAS, HTR, agri HSI, robust ML evaluation protocols.",dataset/benchmark; data descriptor,4 days (median),"167 days (median submission→acceptance, 2024)[web:136]",not verified,not verified,medium (5–6 months to acceptance),rigorous,likely 2,no,yes,yes,limited,high,official journal metrics page[web:136],low–medium (not optimized for speed),"""Large Language Models in Ophthalmology"" style data‑intensive work; analogous data papers show structured curation[web:68]",https://www.nature.com/sdata[web:136]; https://journalsearches.com/journal.php?title=scientific+data[web:130],Top choice for major datasets/benchmarks; prepare for demanding data curation.,
V21,V21 from perplexity_final_response2.csv,V21,Journal of Systems Architecture,JSA,journal,computer architecture / embedded / systems,Elsevier,https://www.sciencedirect.com/journal/journal-of-systems-architecture,Q1 in Computer Science (hardware/architecture related) in recent Scimago years (exact table en SCImago).,Scimago profile for JSA[web:199],Scopus; probablemente Web of Science (verificar en WoS).,1,strong Q1,Journal centrada en diseño de arquitecturas y sistemas embebidos; SJR alto dentro de arquitectura/sistemas.[web:199],medium,moderate,realistic Q1 target,high,architecture; systems,Media si el trabajo es puramente cloud/ML sin conexión a arquitectura.,"Arquitecturas heterogéneas, RISC-V, seguridad hardware, energía en arquitecturas.[web:199]",architecture; sustainability/energy; hardware security,not verified,not verified,not verified,not verified,medium (estimado),rigorous,likely 2 rounds,no,yes (Elsevier online first),no,no,low,no estadísticas públicas claras; baso la clasificación en SJR y prácticas Elsevier.,medium,"buscar artículos recientes de RISC-V, seguridad hardware, green architectures en JSA.",https://www.scimagojr.com/journalsearch.php?q=12398&tip=sid[web:199],Buena opción para trabajos más de arquitectura que de cloud puro.,
V22,V22 from perplexity_final_response2.csv,V22,Machine Learning,ML,journal,machine learning,Springer,https://www.springer.com/journal/10994,Q1 estable en Artificial Intelligence; listado en rankings ML.[web:67],Scimago (Machine Learning); OOIR/otros rankings.[web:67],Scopus; Web of Science.,"2,12",strong Q1,"Revista clásica de ML, bien posicionada pero algo menos visible que JMLR/TPAMI; buena para teoría/algoritmos y robustez.[web:67]",medium,moderate,ambitious/realistic Q1,high,theoretical ML; robust generalization; domain adaptation,Alta si el artículo es solo CV aplicado sin contribución ML clara.,"Teoría de domain adaptation, robust generalization, representación, diagnósticos de modelos.",theoretical; applied AI; domain adaptation/OOD/robust ML,not verified,not verified,not verified,not verified,medium–slow (estimado),rigorous,likely 2 rounds,no,yes,no,no,low,no métricas oficiales de tiempos; comportamiento típico Springer de ML.,low–medium,consultar Scimago/OOIR para ver posición exacta entre journals de IA.[web:67],https://www.scimagojr.com/journalsearch.php?q=24775&tip=sid[web:67],Buena diana para trabajos teórico‑metodológicos de robustez si ves TPAMI/JMLR demasiado duros.,
V23,V23 from perplexity_final_response2.csv,V23,Computer Vision and Image Understanding,CVIU,CVIU,journal,computer vision / image understanding,Elsevier,https://www.sciencedirect.com/journal/computer-vision-and-image-understanding,Entre Q1 y Q2 según categoría; SJR intermedio en CV/PR.[web:66],Scimago CVIU[web:66],Scopus; Web of Science.,"3,6",borderline Q1/Q2,Revista fuerte pero algo por debajo de IJCV/PR; buena reputación en CV.[web:66],medium,moderate–reasonable,realistic target,medium–high,computer vision; document analysis; robust CV,Media si la contribución es muy incremental o fuera de CV.,"CV para doc AI, robustez, vídeo, métodos aplicados más que breakthrough.",computer vision; HTR/OCR/document analysis; applied AI,not verified,not verified,not verified,not verified,medium (estimado),rigorous,likely 2 rounds,no,yes,no,no,low,no datos oficiales de tiempos.,medium,"mirar tabla de similitud de Scimago (similar a IJCV, PR, etc.).[web:66]",https://www.scimagojr.com/journalsearch.php?q=24161&tip=sid[web:66],Buena alternativa un poco más accesible que IJCV para doc‑AI/robust CV.
V24,V24 from perplexity_final_response2.csv,V24,IEEE Transactions on Education,ToE,journal,engineering & computing education,IEEE,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=13,Q1 en Education; Q2 en Electrical & Electronic Engineering; SJR≈0.76.[web:209][web:212][web:220][web:23],Scimago + Resurchify 2024[web:23][web:220],Scopus; Web of Science.[web:23],"7,8,9",strong Q1,Transacciones históricas de educación en ingeniería/EE/CS; bien posicionada en Education.[web:23][web:217],high,moderate,realistic Q1 target,high,engineering education; computing education; curriculum/innovación docente,Media si el trabajo es puramente ML/CV sin foco educativo.,"Educación en arquitectura, RISC‑V, hardware security, CS1/CS2, evaluaciones curriculares.[web:217]",computing education; engineering education; educational technology,not verified,not verified,not verified,not verified,medium (estimado),rigorous,likely 2 rounds,no,yes,no,no,low,no datos oficiales de tiempos; reseñas describen revisión exigente.[web:217],medium,ver fichas de impacto y SJR en Resurchify/AskBisht.[web:209][web:220][web:212],https://www.scimagojr.com/journalsearch.php?q=17344&tip=sid[web:23],Muy adecuada para educación en arquitectura y hardware security.,
V25,V25 from perplexity_final_response2.csv,V25,Journal of Engineering Education,JEE,journal,engineering education,Wiley-Blackwell / ASEE,https://onlinelibrary.wiley.com/journal/21689830,Q1 en Education y Engineering (miscellaneous); SJR≈1.859.[web:213][web:218][web:221],Resurchify + Scimago 2024–2025[web:218],Scopus; Web of Science.[web:221],9,elite/strong Q1,Principal revista internacional de educación en ingeniería; muy selectiva.[web:218][web:221],high,low–moderate,ambitious/realistic Q1,very high,engineering education; curriculum; outcomes,Alta si la metodología educativa no es muy sólida.,"Estudios de ingeniería (incl. computación) sobre currículo, resultados de aprendizaje, competencias.[web:218]",engineering education; educational technology; computing education,not verified,not verified,not verified,not verified,slow–medium (estimado),very rigorous,likely 2–3 rounds,no,yes,no,no,low,sin estadísticas públicas; comportamiento típico de revista muy selectiva.,low,ver perfil de JEE en Resurchify/Scimago para impacto y Q1.[web:218][web:213],https://www.resurchify.com/impact/details/12481[web:218],Para estudios de educación en ingeniería más generales o de alto impacto.,
V26,V26 from perplexity_final_response2.csv,V26,European Journal of Engineering Education,EJEE,journal,engineering education,Taylor & Francis,https://www.tandfonline.com/journals/ceee20,Q1 en 2024; SJR≈1.18.[web:215],AskBisht/Scimago 2024[web:215],Scopus; Web of Science.,9,strong Q1,"Revista europea consolidada de educación en ingeniería, bien situada en Q1.[web:215]",medium–high,moderate–reasonable,realistic Q1 target,high,engineering education; curriculum; pedagogy,Media si el foco no es ingeniería/tecnología.,"Estudios sobre educación en ingeniería (incl. CS, arquitectura hardware) con base empírica sólida.",engineering education; computing education; educational technology,not verified,not verified,not verified,not verified,medium (estimado),rigorous,likely 2 rounds,no,yes,no,no,low,no datos oficiales de tiempos.,medium–high,ver SJR y clasificación en AskBisht.[web:215],https://askbisht.com/journals/european-journal-of-engineering-education[web:215],Buen objetivo para educación en ingeniería con menos presión que JEE.,
V27,V27 from perplexity_final_response2.csv,V27,International Journal of STEM Education,IJSTEM,journal,STEM / computing / engineering education,SpringerOpen,https://stemeducationjournal.springeropen.com,Q1 en Education; SJR≈2.606; IF≈10.35.[web:211][web:214][web:216][web:219],Resurchify + AskBisht + WoS 2024–2025[web:216][web:219],Scopus; Web of Science.[web:219],"7,8,9",elite/strong Q1,OA de alto impacto en educación STEM; percentil ~99% en Education.[web:216][web:219],high,moderate,ambitious/realistic Q1,high,computing education; engineering education; K–12 STEM,"Alta si el estudio es muy local sin discusión general, o diseño metodológico débil.","Estudios de CT, programación, CS en K–12, educación en arquitectura/CS en clave STEM.[web:216][web:219]",computing education; engineering education; educational technology; systematic review,not verified,not verified,not verified,not verified,medium (estimado),rigorous,likely 2 rounds,no,yes (OA),no,no,low,no tiempos oficiales; impacto alto sugiere revisión exigente.,medium,ver ficha IJSTEM en Resurchify/AskBisht/WoS.[web:216][web:214][web:219],https://www.resurchify.com/impact/details/21100873488[web:216],Muy interesante para trabajos STEM integrando CT/CS + hardware/arquitectura.,
